time,open_4h,high_4h,low_4h,close_4h,volume_4h,ema20_4h_4h,ema78_4h_4h,ema200_4h_4h,rsi_4h_4h,macd_4h_4h,hist_4h_4h,ema20_gap_4h_4h,ema78_gap_4h_4h,ema200_gap_4h_4h,ema20_slope_4h_4h,ema78_slope_4h_4h,volatility_4h_4h,open_1h,high_1h,low_1h,close_1h,volume_1h,ema20_1h_1h,ema78_1h_1h,ema200_1h_1h,rsi_1h_1h,macd_1h_1h,hist_1h_1h,ema20_gap_1h_1h,ema78_gap_1h_1h,ema200_gap_1h_1h,ema20_slope_1h_1h,ema78_slope_1h_1h,volatility_1h_1h,open_1d,high_1d,low_1d,close_1d,volume_1d,ema20_1d_1d,ema78_1d_1d,ema200_1d_1d,rsi_1d_1d,macd_1d_1d,hist_1d_1d,ema20_gap_1d_1d,ema78_gap_1d_1d,ema200_gap_1d_1d,ema20_slope_1d_1d,ema78_slope_1d_1d,volatility_1d_1d,target,signal,ret,strategy_ret,position_change,fee_cost,strategy_ret_net,equity
2026-04-28 04:00:00,76815.18,77154.0,76424.9,76879.28,2882.71195,77524.8842305565,76353.15505943737,73863.42716575593,44.22650012103412,-97.3171797859104,-177.03459296768045,-0.0083277032525001,0.0068906771456014,0.0408301232418614,-0.0023389570159991,0.0006964992117037,0.0067212928642143,76815.18,76950.0,76701.35,76888.08,274.86374,77230.51046263197,77590.22585868044,77243.86885,39.93595671527624,-266.9395178278355,5.047950239200759,-0.0044338754279974,-0.0090494111972208,-0.0046060464771761,-0.001655917811474,-0.0007471481453195,0.0035689408196447,77371.32,77478.0,75666.6,76342.77,13210.72383,75419.07757257171,74250.70233743236,82373.26959391242,55.95130565110414,1843.908902464129,-12.705175176250124,0.0122474638666784,0.0281757289387006,-0.0732094236837005,0.0091901428268434,0.0034437432623581,0.020029799691892,1,0,-0.008458455906454887,-0.0,0.0,0.0,-0.0,1.0
2026-04-28 08:00:00,76879.28,77013.63,76130.1,76229.0,2842.73206,77401.46668478922,76350.01189337566,73886.96520390762,39.49892298203876,-184.83039239575737,-211.63824446202196,-0.0151478613391654,-0.0015849623382463,0.0316975367661808,-0.0035176846192351,0.0002997363278141,0.0069036337598786,76879.28,77013.63,76741.12,76858.59,1043.07562,77100.72267142117,77516.72190597175,77227.87833292957,40.99639531432255,-246.76323374762435,16.107843401493312,-0.0031404721386733,-0.0084901926937786,-0.0047818008328232,-0.0012561950506732,-0.0007177159129956,0.0035944503098582,77371.32,77478.0,75666.6,76342.77,13210.72383,75419.07757257171,74250.70233743236,82373.26959391242,55.95130565110414,1843.908902464129,-12.705175176250124,0.0122474638666784,0.0281757289387006,-0.0732094236837005,0.0091901428268434,0.0034437432623581,0.020029799691892,1,0,-0.002133308845714832,-0.0,0.0,0.0,-0.0,1.0
2026-04-28 12:00:00,76228.99,76421.94,75666.6,76066.38,3776.77215,77274.31557195216,76342.83133911299,73908.65092327172,38.3936397542525,-264.2610815641965,-232.8551469043689,-0.0156317860988029,-0.0036211826868851,0.0291945401488701,-0.0041051079984992,4.377632821883637e-05,0.0069020854007811,76228.99,76421.94,76168.84,76372.05,652.01316,76883.14415321947,77412.82441466098,77197.4953597582,35.019613863063434,-300.647295107352,-26.593947085069374,-0.0066476749728252,-0.013444470248057,-0.0106926443132829,-0.0022023868169471,-0.00104058723963,0.0024247266788599,77371.32,77478.0,75666.6,76342.77,13210.72383,75419.07757257171,74250.70233743236,82373.26959391242,55.95130565110414,1843.908902464129,-12.705175176250124,0.0122474638666784,0.0281757289387006,-0.0732094236837005,0.0091901428268434,0.0034437432623581,0.020029799691892,2,1,0.003478409252550163,0.003478409252550163,1.0,0.0004,0.003078409252550163,1.0030784092525502
2026-04-28 16:00:00,76066.37,76380.83,75881.28,76330.97,1381.80454,77184.47313652813,76342.53105204685,73932.7536006521,41.2730903198168,-302.37468610855285,-216.77500115898016,-0.0110579641454364,-0.0001514365830884,0.0324378070956463,-0.0043909913237148,-0.0001391430044017,0.0069350002320982,76066.37,76218.06,75881.28,76125.04,447.54534,76618.91181972386,77283.1465099248,77153.78398529204,34.34505173280543,-358.5436069109419,-39.73077034407811,-0.0064458213774412,-0.0149852401490418,-0.0133336815403397,-0.002580197994181,-0.0012757029933607,0.002506232980988,77371.32,77478.0,75666.6,76342.77,13210.72383,75419.07757257171,74250.70233743236,82373.26959391242,55.95130565110414,1843.908902464129,-12.705175176250124,0.0122474638666784,0.0281757289387006,-0.0732094236837005,0.0091901428268434,0.0034437432623581,0.020029799691892,1,0,0.00015458993905093088,0.0,1.0,0.0004,-0.0004,1.0026771778888492
2026-04-28 20:00:00,76330.97,76481.3,76197.02,76342.77,878.43906,77104.31093304927,76342.53710136212,73956.73386333218,41.40462512241591,-327.84859637996124,-193.79912914431085,-0.0098767620621177,3.05070602482076e-06,0.032262594790585,-0.0038391488490792,-9.790164831902092e-05,0.0068831756274643,76330.97,76480.0,76323.71,76463.95,259.71578,76519.52735217444,77188.18699729106,77120.59061746046,44.68832892823228,-277.19306813731964,36.71753632073791,-0.0007263159365667,-0.009382743985378,-0.0085144656207002,-0.0007610374735511,-0.0008700564610073,0.0021736328359355,77371.32,77478.0,75666.6,76342.77,13210.72383,75419.07757257171,74250.70233743236,82373.26959391242,55.95130565110414,1843.908902464129,-12.705175176250124,0.0122474638666784,0.0281757289387006,-0.0732094236837005,0.0091901428268434,0.0034437432623581,0.020029799691892,1,0,0.00854055989846847,0.0,0.0,0.0,0.0,1.0026771778888492
2026-04-29 00:00:00,76342.78,77127.62,76187.75,76994.78,1891.92924,77093.879415616,76359.04957980865,73986.9631781249,48.29570218249033,-292.05842811532784,-126.40716870374196,-0.0012854381744334,0.0083255412906482,0.0406533352995408,-0.002335008145988,0.0002124396018745,0.0071820884080471,76342.78,76557.97,76276.0,76512.0,636.88517,76470.50299495953,77107.97359399739,77090.93314821922,47.952579293092526,-198.9953671715484,64.12335880892971,0.0005426537477228,-0.0077290786700661,-0.0075097436829066,-0.0004386675195685,-0.0007668352846721,0.0020997680569253,76342.78,77904.93,74937.52,75780.0,18279.93022,75453.45113708869,74289.41873395306,82307.66492133618,53.87515810345569,1645.824557371685,-168.63161621495533,0.0043278187808535,0.0200645164742107,-0.0793081048718228,0.0046246351405356,0.0023682769674902,0.0201201107260077,0,-1,0.00076446740934899,-0.00076446740934899,1.0,0.0004,-0.00116446740934899,1.0015095929930997
2026-04-29 04:00:00,76994.77,77455.71,76880.0,77053.64,2974.5751,77090.04709031923,76376.63414740843,74017.4773753575,48.88017432720775,-255.99401220298023,-72.27420223311546,-0.0004722670655081,0.0088640440908266,0.0410195366324835,-0.0012233813663775,0.0004467116152899,0.0071246721318308,76994.77,77455.71,76880.0,77269.76,655.24397,76603.62624496028,77082.81890755729,77081.28640589121,64.88686148372017,-21.474987445937582,140.61156597579145,0.0086958514589058,0.0024251979246749,0.0024451277722108,0.0016154810001904,-0.0001499515053982,0.0025623605730704,76342.78,77904.93,74937.52,75780.0,18279.93022,75453.45113708869,74289.41873395306,82307.66492133618,53.87515810345569,1645.824557371685,-168.63161621495533,0.0043278187808535,0.0200645164742107,-0.0793081048718228,0.0046246351405356,0.0023682769674902,0.0201201107260077,0,-1,0.006961254523472293,-0.006961254523472293,0.0,0.0,-0.006961254523472293,0.9945378298085756
2026-04-29 08:00:00,77053.65,77904.93,76972.32,77590.03,2697.20554,77137.66451028883,76407.35302975253,74053.02516266737,53.98500827830127,-182.03215914114844,1.3501206629730689,0.0058643918322265,0.0154785753379906,0.0477631376917164,0.0004325773336917,0.0008490145972532,0.0072782156724067,77053.65,77148.79,76972.32,77046.32,539.09721,76766.18766146548,77084.74878814389,77082.17599227733,57.77030629770528,85.75730099152133,112.95673981527383,0.0036491630894828,-0.0004985264757039,-0.000465165802804,0.0012697045115095,-4.247349427655145e-05,0.0022079525049381,76342.78,77904.93,74937.52,75780.0,18279.93022,75453.45113708869,74289.41873395306,82307.66492133618,53.87515810345569,1645.824557371685,-168.63161621495533,0.0043278187808535,0.0200645164742107,-0.0793081048718228,0.0046246351405356,0.0023682769674902,0.0201201107260077,0,-1,-0.021468995436655924,0.021468995436655924,0.0,0.0,0.021468995436655924,1.0158895579383176
2026-04-29 12:00:00,77590.04,77596.39,75705.32,75924.25,5263.52444,77022.10122359465,76395.12257330309,74071.64431527765,40.46928149749451,-254.89313284889795,-57.20868243582112,-0.0142537168702733,-0.0061636470685844,0.0250109971480711,-0.0009310491645437,0.0004724128141058,0.0084212836418849,77590.04,77596.39,76850.0,77143.68,1776.35149,77001.43864310572,77124.63571697842,77098.43843334542,54.28087406203198,194.5827032765228,95.01313814353396,0.0018472558357454,0.0002469286609205,0.0005868026327625,0.0019758110123122,0.0003343668689399,0.0029212014780016,76342.78,77904.93,74937.52,75780.0,18279.93022,75453.45113708869,74289.41873395306,82307.66492133618,53.87515810345569,1645.824557371685,-168.63161621495533,0.0043278187808535,0.0200645164742107,-0.0793081048718228,0.0046246351405356,0.0023682769674902,0.0201201107260077,1,0,-0.004746704774824861,-0.0,1.0,0.0004,-0.0004,1.0154832021151423
2026-04-29 16:00:00,75924.24,76274.8,74937.52,75563.86,3962.49362,76883.22110706184,76374.07795119415,74086.49223253857,38.23874354532262,-337.8222360917425,-112.11022854293252,-0.0171605857307225,-0.0106085464195313,0.0199411218285831,-0.0026829142160865,-3.346830143557966e-05,0.0084473509721449,75924.24,76125.47,75696.13,75803.54,1021.10079,76745.52098934178,77040.23211751488,77065.79090682408,32.48989726857194,-79.87616707501002,-133.21504946379832,-0.0122740842357771,-0.0160525492138766,-0.0163788743613908,-0.0030547266967125,-0.0009824871934064,0.0037349163972472,76342.78,77904.93,74937.52,75780.0,18279.93022,75453.45113708869,74289.41873395306,82307.66492133618,53.87515810345569,1645.824557371685,-168.63161621495533,0.0043278187808535,0.0200645164742107,-0.0793081048718228,0.0046246351405356,0.0023682769674902,0.0201201107260077,2,1,0.002860362083143997,0.002860362083143997,1.0,0.0004,0.0024603620831439967,1.017981658481696
